n_statements	bytecode_words	hash_fn	steps_standalone	steps_with_bootloader	overhead	poseidon_instances	range_check_instances	bitwise_instances
225	1014	blake	484	17785	17301	1	1040	1
225	1014	poseidon	484	8030	7546	511	18	1
1960	7954	blake	3954	123609	119655	1	7980	1
1960	7954	poseidon	3954	49670	45716	3981	18	1
3950	15914	blake	7934	244999	237065	1	15940	1
3950	15914	poseidon	7934	97430	89496	7961	18	1
7920	31794	blake	15874	487169	471295	1	31820	1
7920	31794	poseidon	15874	192710	176836	15901	18	1
